end_date,friday,monday,saturday,service_id,start_date,sunday,thursday,tuesday,wednesday
20260106,0,0,1,200021800,20250606,0,0,0,0
20260106,0,0,1,200021824,20250606,0,0,0,0
20260106,0,0,1,200021852,20250606,0,0,0,0
20260106,0,0,1,200021916,20250606,0,0,0,0
20260106,0,0,1,200021944,20250606,0,0,0,0
20260106,0,0,1,200022006,20250606,0,0,0,0
20260106,0,0,1,200022032,20250606,0,0,0,0
20260106,0,0,1,200022054,20250606,0,0,0,0
20260106,0,0,1,200022120,20250606,0,0,0,0
20260106,0,0,1,200022141,20250606,0,0,0,0
20260106,0,0,1,200022207,20250606,0,0,0,0
20260106,0,0,1,200022228,20250606,0,0,0,0
20260106,0,0,1,200022252,20250606,0,0,0,0
20260106,0,0,1,200022315,20250606,0,0,0,0
20260106,0,0,0,200030830,20250606,1,0,0,0
20260106,0,0,0,200030858,20250606,1,0,0,0
20260106,0,0,0,200030920,20250606,1,0,0,0
20260106,0,0,0,200030948,20250606,1,0,0,0
20260106,0,0,0,200031010,20250606,1,0,0,0
20260106,0,0,0,200031038,20250606,1,0,0,0
20260106,0,0,0,200031100,20250606,1,0,0,0
20260106,0,0,0,200031128,20250606,1,0,0,0
20260106,0,0,0,200031150,20250606,1,0,0,0
20260106,0,0,0,200031218,20250606,1,0,0,0
20260106,0,0,0,200031240,20250606,1,0,0,0
20260106,0,0,0,200031308,20250606,1,0,0,0
20260106,0,0,0,200031330,20250606,1,0,0,0
20260106,0,0,0,200031358,20250606,1,0,0,0
20260106,0,0,0,200031420,20250606,1,0,0,0
20260106,0,0,0,200031448,20250606,1,0,0,0
20260106,0,0,0,200031510,20250606,1,0,0,0
20260106,0,0,0,200031538,20250606,1,0,0,0
20260106,0,0,0,200031600,20250606,1,0,0,0
20260106,0,0,0,200031631,20250606,1,0,0,0
20260106,0,0,0,200031656,20250606,1,0,0,0
20260106,0,0,0,200031726,20250606,1,0,0,0
20260106,0,0,0,200031750,20250606,1,0,0,0
20260106,0,0,0,200031820,20250606,1,0,0,0
20260106,0,0,0,200031844,20250606,1,0,0,0
20260106,0,0,0,200031914,20250606,1,0,0,0
20260106,0,0,0,200031938,20250606,1,0,0,0
20260106,0,0,0,200032008,20250606,1,0,0,0
20260106,0,0,0,200032032,20250606,1,0,0,0
